"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Migration and other changes","Count","-678"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","End population","Count","148619"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Starting population","Count","113501"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Births","Count","1552"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Deaths","Count","792"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Natural Change","Count","760"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Internal Inflows","Count","1934"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Internal Outflows","Count","1827"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Internal Net","Count","107"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","United Kingdom Inflows","Count","689"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","United Kingdom Outflows","Count","760"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","United Kingdom Net","Count","-71"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Rest of world Inflows","Count","734"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Rest of world Outflows","Count","802"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Rest of world Net","Count","-68"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Total Inflows","Count","3357"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Total Outflows","Count","3389"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Total Net","Count","-32"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Other changes","Count","1"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","Migration and other changes","Count","-31"
"Components of population change - Local Government Districts","2011-2012","Fermanagh and Omagh","End population","Count","114230"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Starting population","Count","135280"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Births","Count","1803"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Deaths","Count","1050"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Natural Change","Count","753"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Internal Inflows","Count","5171"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Internal Outflows","Count","4352"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Internal Net","Count","819"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","United Kingdom Inflows","Count","816"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","United Kingdom Outflows","Count","1063"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","United Kingdom Net","Count","-247"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Rest of world Inflows","Count","551"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Rest of world Outflows","Count","582"
"Components of population change - Local Government Districts","2011-2012","Lisburn and Castlereagh","Rest of world Net","Count","-31"
